Place,Venues,Repertory
"Reggio Emilia, Italy","Teatro Municipali R. Valli; Teatro Municipale, ""R. Valli""",Concerto in F; Phases; The River; Cry; Treading; Memoria; Pigs and Fishes; Satyriade; Streams; Revelations; The Stack-Up; Night Creature; Fontessa and Friends
"Reno, NV, USA",Pioneer Theater Auditorium,Toccata; Journey; Blues Suite; Revelations; Icarus
"Richmond, IN, USA","Goddard Auditorium, Earlham College",Toccata; Journey; Blues Suite; Revelations; Icarus
"Richmond, VA, USA","Loew's Theatre, Virginia Center for the Performing Arts; Carpenter Center; Virginia Museum Theatre, University of Virginia; Virginia Museum Theatre; Shrine Mosque Auditorium",Suspension; Hidden Rites; Threnody; Fontessa and Friends; Liberian Suite; Fever Swamp; Landscape; Hermit Songs; The Stack-Up; Mary Lou's Mass; Divining; Journey; Love Songs; Songs Without Words; Treading; Cry; Suite Otis; Blues Suite; Pigs and Fishes; Myth; Icarus; Toccata; Dance for Six; Speeds; Revelations; The Lark Ascending; Night Creature
"Ridgewood, NJ, USA",Benjamin Franklin Junior High School,Dance for Six; Blues Suite; Revelations
"Rio de Janeiro, Brazil",Municipal Theatre; Teatro Municipal; Estadio do Maracanazinhu,The Still Point; The River; Light; Facets; Concerto in F; Gazelle; Memoria; Passage; Pas de Duke; Love Songs; The Time Before the Time After (After the Time Before); Treading; Cry; Suite Otis; Blues Suite; Reflections in D; Later That Day; Streams; Icarus; Phases; Rainbow 'Round My Shoulder; Butterfly; Gillespiana; The Lark Ascending; Revelations; Night Creature
"Ripon, WI, USA",Ripon College Memorial Hall,Dance for Six; Blues Suite; Revelations
"Riverside, CA, USA","University Theatre, University of California Riverside; Riverside Municipal Auditorium",Toccata; Journey; Congo Tango Palace; Blues Suite; Reflections in D; The Prodigal Prince; Revelations; Icarus
"Rochester, NY, USA","Nazareth Arts Center, Nazareth College; Eastman Theatre, Rochester School of Music; East High School",Congo Tango Palace; After Eden; Inside; Hidden Rites; Liberian Suite; Flowers; Nubian Lady; Fanga; Memoria; Metallics; Hermit Songs; Quintet; Portrait of Billie; Journey; Love Songs; Suite Otis; Cry; The Time Before the Time After (After the Time Before); Lament; Blues Suite; Later That Day; Streams; Myth; Choros; Icarus; Echoes in Blue; Toccata; Dance for Six; Feast of Ashes; Carmina Burana; Rainbow 'Round My Shoulder; The Wedding; Fire Sermon; Butterfly; Revelations; The Lark Ascending; Night Creature
"Rome, Italy",Teatro Tendasdrichi; Teatro dell'Opera; Teatro Olimpico,Congo Tango Palace; The Road of the Phoebe Snow; Fontessa and Friends; Concerto in F; Landscape; Hermit Songs; The Stack-Up; Come and Get the Beauty of It Hot; Treading; Cry; Lament; Suite Otis; Blues Suite; Reflections in D; Toccata; Shards; Phases; Rainbow 'Round My Shoulder; Revelations; Night Creature; Rooms
"Rotterdam, Netherlands",Schouwburg,Metallics; Lament; The Road of the Phoebe Snow; Revelations
"Royan, France",2nd International Festival of Contemporary Art,Gillespiana; Lament; Congo Tango Palace; Blues Suite; Reflections in D; Hermit Songs; Revelations; The Road of the Phoebe Snow
"Ruston, LA, USA","Howard Auditorium, Louisiana Tech University",Cry; The Road of the Phoebe Snow; Streams; Revelations
"Rutland, VT, USA",Mount St. Joseph High School Auditorium,Cry; The Lark Ascending; Rainbow 'Round My Shoulder; Revelations
"Río Piedras, Puerto Rico","Teatro de la Universidad, University of Puerto Rico",Dance for Six; Blues Suite; Revelations
"Sacramento, CA, USA",Sacramento Community Center Theater,Divining; Shards; Love Songs; Suite Otis; Tell It Like It Is; Revelations; The Stack-Up; Night Creature
"Safi, Morocco",Cinema Royal,Toccata; Journey; Blues Suite; Revelations; Icarus
"Saigon, South Vietnam",National Theater,Mountainway Chant; Been Here and Gone; Roots of the Blues; Gillespiana; The Beloved
"Salisbury, MD, USA",Salisbury State College,
"Salisbury, NC, USA","Livingstone College Lyceum, Varick Auditorium",Toccata; Blues Suite; Reflections in D; Revelations; Metallics
"Salt Lake City, UT, USA",Capitol Theater,Caverna Magica; Divining; Love Songs; Cry; Treading; The Stack-Up; Speeds; Revelations; The Lark Ascending; Night Creature
"San Antonio, TX, USA",Theatre for Performing Arts; Theater for the Performing Arts,The Still Point; Concerto in F; Phases; The River; Cry; Treading; Rainbow 'Round My Shoulder; Memoria; Later That Day; Revelations; The Lark Ascending; Night Creature
"San Diego, CA, USA","East County Performing Arts Center; Civic Auditorium; Spreckles Theater; Mandeville Auditorium, University of California, San Diego; Symphony Hall",The Still Point; The Lark Ascending; Fontessa and Friends; Isba; Concerto in F; Memoria; Bad Blood; Vespers; The Stack-Up; Divining; Research; Portrait of Billie; Love Songs; Suite Otis; Treading; Cry; Blues Suite; Night Shade; Tell It Like It Is; Streams; For 'Bird' - With Love; Shards; Rainbow 'Round My Shoulder; Collage; Masekela Langage; Revelations; Sonnets; Night Creature
"San Jose, CA, USA","Morris Daily Auditorium, San Jose State University; Center for the Performing Arts; Performing Arts Center",Poeme; Love Songs; Cry; Rainbow 'Round My Shoulder; The Lark Ascending; Memoria; Later That Day; Les Noces; Hermit Songs; Revelations; Quintet; Gazelle; Night Creature
"Santa Barbara, CA, USA","Campbell Hall, University of California Santa Barbara",Toccata; Congo Tango Palace; Reflections in D; The Prodigal Prince; Revelations
"Santa Cruz, CA, USA","Stevenson College Dining Commons, University of California Santa Cruz",Congo Tango Palace; Blues Suite; Reflections in D; Revelations; The Beloved
"Santa Rosa, CA, USA",Santa Rosa High School Auditorium,Toccata; Journey; Blues Suite; Revelations; Icarus
"Santander, Spain",Plaza Porticada,Concerto in F; Suite Otis; Cry; Treading; Bad Blood; Streams; Revelations; The Stack-Up; Night Creature
"Santiago, Chile",Opera House; Municipal Theater,Pas de Duke; The Still Point; Concerto in F; Phases; Love Songs; Treading; Cry; Facets; Suite Otis; Blues Suite; Rainbow 'Round My Shoulder; The Lark Ascending; The River; Memoria; Revelations; Gazelle; Night Creature
"Sarajevo, Socialist Federal Republic of Yugoslavia",Djura Djaković University Hall,Lament; Blues Suite; The Prodigal Prince; Revelations; The Road of the Phoebe Snow
"Sarasota, FL, USA",Van Wezel Performing Arts Hall,The Still Point; Inside; Fontessa and Friends; Isba; Spectrum; Concerto in F; Landscape; Memoria; Bad Blood; Vespers; The Stack-Up; Divining; Research; Journey; Love Songs; Songs Without Words; Treading; Cry; Suite Otis; Blues Suite; Streams; Caverna Magica; Rainbow 'Round My Shoulder; Revelations; The Lark Ascending; Night Creature
"Saratoga Springs, NY, USA","College Hall, Skidmore College; Saratoga Performing Arts Center",Congo Tango Palace; Inside; Facets; Memoria; Quintet; The Black Belt; Love Songs; The Time Before the Time After (After the Time Before); Suite Otis; Blues Suite; Reflections in D; Later That Day; Icarus; Toccata; Les Noces; Butterfly; Revelations; Fire Sermon; District Storyville
"Saratoga, NY, USA",Saratoga Performing Arts Center,Suite Otis; Cry; Flowers; Streams; Mingus; Butterfly; District Storyville; Gazelle; Revelations; Night Creature
"Schenectady, NY, USA",Proctor's Theater; Linton High School; Proctor's Theatre,The River; Light; Fontessa and Friends; Concerto in F; Landscape; Memoria; Bad Blood; Divining; Portrait of Billie; Suite Otis; Treading; Cry; Blues Suite; Reflections in D; Caverna Magica; Phases; Variegations; Rainbow 'Round My Shoulder; Speeds; Gillespiana; The Lark Ascending; Revelations; Night Creature; The Beloved
"Seattle, WA, USA","Meany Theater, University of Washington; Opera House; Meany Hall, University of Washington; Seattle Opera House",The Still Point; The River; Inside; Fontessa and Friends; Isba; From the Mountains of Taubalu; Concerto in F; Gazelle; Landscape; Memoria; Metallics; Bad Blood; Vespers; Precipice; The Stack-Up; Divining; Research; Survivors; Love Songs; Suite Otis; Treading; Cry; The Time Before the Time After (After the Time Before); Night Shade; Blues Suite; Later That Day; Tell It Like It Is; Streams; Witness; Icarus; Caverna Magica; Dance for Six; Shards; Carmina Burana; Phases; Rainbow 'Round My Shoulder; Speeds; Masekela Langage; Butterfly; Revelations; The Lark Ascending; Night Creature; Opus McShann
"Selden, NY, USA","Islip Arts Theatre, Selden Community College",Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Seoul, Korea",Citizens Community Hall,Mountainway Chant; Been Here and Gone; Letter to a Lady; Gillespiana; Roots of the Blues; Revelations; The Beloved
"Seremban, Malaysia",Seremban Town Hall,Been Here and Gone; Mountainway Chant; Gillespiana; Roots of the Blues; Revelations; The Beloved; Trane' in Three
"Sfax, Tunisia",Theatre Municipal,Toccata; Journey; The Prodigal Prince; Revelations; Icarus
"Shanghai, China",Shanghai Municipal Auditorium,Concerto in F; Cry; Memoria; Revelations; Night Creature
"Shepherdstown, WV, USA","McMurran Gymnasium, Shepherd College",Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Shrub Oak, NY, USA",Lakeland High School,Cry; Choral Dances; Streams; Revelations
"Skopje, Socialist Federal Republic of Yugoslavia",Universalna Sala,Lament; Blues Suite; The Prodigal Prince; Revelations; The Road of the Phoebe Snow
"Slippery Rock, PA, USA",Slippery Rock State College,Quintet; Blues Suite; Revelations
"Sorrento, Italy",Chiostro di San Francesco,Reflections in D; Toccata; The Prodigal Prince; Blues Suite
"South Hadley, MA, USA","Chapin Auditorium, Mount Holyoke College",Toccata; Dance for Six; Journey; Revelations
"Southampton, NY, USA",,
"Split, Socialist Federal Republic of Yugoslavia",Kulturno Unjetnicka Poslovinka; Peristyle,Toccata; Credo; Cry; Blues Suite; Rainbow 'Round My Shoulder; The Prodigal Prince; Revelations; Icarus
"Spring Valley, NY, USA",Spring Valley High School,Light; Blues Suite; Reflections in D; Gillespiana; Revelations
"St. Cloud, MN, USA","Stewart Hall Auditorium, St. Cloud University",Toccata; Dance for Six; Archipelago; Child of the Earth; Revelations
"St. Louis, MO, USA",Hanley Jr. High School; Forrest Park Community College; Kiel Opera House,The Road of the Phoebe Snow; Fontessa and Friends; Concerto in F; Fanga; Landscape; Memoria; Hobo Sapiens; The Stack-Up; Choral Dances; Divining; Love Songs; The Time Before the Time After (After the Time Before); Treading; Cry; Suite Otis; Blues Suite; Streams; The Magic of Katherine Dunham; Choros; Seven Journeys; Dance for Six; For 'Bird' - With Love; Rainbow 'Round My Shoulder; The Wedding; Revelations; Gazelle; Caravan; Night Creature
"St. Paul, MN, USA",St. Paul Municipal Auditorium Theatre,
"St. Petersburg, FL, USA",Florida Presbyterian College; Bayfront Center,Toccata; Journey; Suite Otis; Cry; The Time Before the Time After (After the Time Before); Blues Suite; Rainbow 'Round My Shoulder; Revelations; The Lark Ascending; Caravan; Night Creature; Icarus
"St. Thomas, U.S. Virgin Islands",Charlotte Amalie High School Auditorium,Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Stamford, CT, USA",Unknown (for now) venue in Stamford; The Stamford Center for the Arts; Westover School Auditorium,Caverna Magica; Bad Blood; Revelations; Witness; Night Creature
"Stanford, CA, USA","Memorial Auditorium, Stanford University",Facets; Journey; Flowers; Revelations; Night Creature
"Statesboro, GA, USA",Georgia Southern College,Quintet; Blues Suite; Revelations
"Stevens Point, WI, USA","Old Main Auditorium, University of Wisconsin–Stevens Point",Toccata; Journey; Threnody; Metallics; Revelations
"Stillwater, OK, USA","Seretean Theatre Center; Oklahoma State University; Seretean Centre for the Performing Arts, Oklahoma State University",Dance for Six; Feast of Ashes; Love Songs; Cry; Blues Suite; Hidden Rites; Revelations; Choral Dances; Night Creature; According to Eve; Icarus
"Stockholm, Sweden",Stockholms Stadsteater; Stadsteatern,Congo Tango Palace; The Road of the Phoebe Snow; Fever Swamp; The Prodigal Prince; Hermit Songs; The Stack-Up; Divining; Love Songs; Suite Otis; Treading; Cry; Lament; Blues Suite; Reflections in D; Pigs and Fishes; Toccata; Gillespiana; Metallics; Revelations; Night Creature; The Beloved; Rooms
"Storrs, CT, USA","Harriet S. Jorgensen Theatre, University of Connecticut; University of Connecticut; Jorgensen Auditorium, University of Connecticut",Toccata; From the Mountains of Taubalu; Carmina Burana; Love Songs; Suite Otis; Cry; Flowers; Blues Suite; Rainbow 'Round My Shoulder; Child of the Earth; Masekela Langage; Hidden Rites; Quintet; The Lark Ascending; Revelations; Icarus
"Stuttgart, Germany",Liederhalle,Toccata; Blues Suite; Hermit Songs; Revelations; The Road of the Phoebe Snow
"Stuttgart-North, Germany",,
"Sweet Briar, VA, USA",Sweet Briar College,Toccata; Journey; Revelations; Threnody; Icarus
"Sydney, Australia",Tivoli Theatre; Palace Theatre; Lyric Mode Entertainment Centre,The Road of the Phoebe Snow; Fontessa and Friends; Isba; Been Here and Gone; Mountainway Chant; Concerto in F; How to Walk an Elephant; Memoria; Hermit Songs; The Stack-Up; Divining; Love Songs; Letter to a Lady; Treading; Roots of the Blues; Lament; Cry; Blues Suite; Suite Otis; Reflections in D; Speeds; Gillespiana; Revelations; Night Creature; The Beloved; Rooms
"Syracuse, NY, USA",Crouse-Hinds Concert Theater,Divining; From the Mountains of Taubalu; Shards; Suite Otis; Bad Blood; Streams; Tell It Like It Is; Revelations
"São Paulo, Brazil",Teatro Municipal,Light; Facets; Gazelle; Passage; Pas de Duke; Love Songs; The Time Before the Time After (After the Time Before); Cry; Suite Otis; Blues Suite; Reflections in D; Streams; Icarus; Rainbow 'Round My Shoulder; Butterfly; Gillespiana; The Lark Ascending; Revelations; Night Creature
"Tacoma, WA, USA",,
"Taipei, Taiwan",Taipei City Hall; Sun Yat-sen Memorial Hall,Been Here and Gone; Facets; Journey; Gazelle; Gillespiana; Cry; Roots of the Blues; Rainbow 'Round My Shoulder; After Eden; Revelations; The Lark Ascending; The Beloved; Trane' in Three
"Tallahassee, FL, USA","Ruby Diamond Auditorium; Lee Hall, Florida Agricultural and Mechanical University; Wescott Auditorium, Florida State University",The River; To Jose Clemente Orozco; Spectrum; Concerto in F; Fever Swamp; Memoria; The Prodigal Prince; Hermit Songs; Journey; Songs Without Words; Treading; Blues Suite; Pigs and Fishes; Streams; Icarus; Toccata; Dance for Six; Revelations; Metallics
"Tampa, FL, USA",University of South Florida,Masekela Langage; Dance for Six; Revelations
"Taormina, Italy",Theatro Greco,Caverna Magica; Cry; Treading; Streams; Revelations; The Stack-Up; Night Creature
"Tarrytown, NY, USA","Spelman Auditorium, Marymount College",The Beloved
"Tehran, Iran",Roudaki Hall,Love Songs; Cry; Nubian Lady; Blues Suite; Kinetic Molpai; Streams; Hidden Rites; Revelations; The Lark Ascending
"Tel Aviv, Israel",Solomon's Pool; Mann Auditorium,The River; Fontessa and Friends; Spectrum; Concerto in F; Fever Swamp; Landscape; Memoria; Bad Blood; The Stack-Up; Divining; Survivors; Suite Otis; Treading; Cry; Blues Suite; Pigs and Fishes; Streams; Caverna Magica; Phases; Speeds; Revelations; Sonnets; Night Creature
"Tempe, AZ, USA","Grady Gammage Memorial Auditorium, Arizona State University; Grady Gammage Auditorium, Arizona State University; Gammage Center for The Performing Arts; Grady Gammage Memorial Auditorium, Arizona State University",Missa Brevis; The Still Point; The River; After Eden; Hidden Rites; Fontessa and Friends; Isba; Concerto in F; Fever Swamp; Landscape; The Stack-Up; Divining; Love Songs; Songs Without Words; Treading; Cry; Pigs and Fishes; Dance for Six; Carmina Burana; Rainbow 'Round My Shoulder; Masekela Langage; Revelations; The Lark Ascending; Night Creature
"Terre Haute, IN, USA","Tilson Music Hall, Indiana State University",
"Timișoara, Socialist Republic of Romania",Opera House,Cry; The Lark Ascending; Rainbow 'Round My Shoulder; Revelations
"Tokuyama, Yamaguchi, Japan",Tokuyama Shiminkan,Been Here and Gone; Mountainway Chant; Letter to a Lady; Gillespiana; Roots of the Blues; Revelations
"Tokyo, Japan","Tokyo Sun Plaza Hall; Sankei Hall; Hitomi Kinen Kodo, Showa Women's University; Hitmomi Memorial Hall; NHK Hall; Sun Plaza Hall; Nakano Sun Plaza Hall; Kosei Nenkin Kaikan; Tokyo Bunka Kaikan; Tokyo Bunka Káikan; Tokyo Kosei Nenkin Kaikan; Tokyo Kosei Nenkin; Bunka Kaigan Hall; Hitomi Kinen Kodo, Showa Women's College; Bunkyo Hall",The River; After Eden; The Lark Ascending; Inside; The Road of the Phoebe Snow; Fontessa and Friends; Cinco Latinos; Isba; Been Here and Gone; Spectrum; Concerto in F; The Wait; Mountainway Chant; Facets; Fever Swamp; Landscape; Memoria; Precipice; The Stack-Up; Divining; Love Songs; Songs Without Words; Treading; Cry; Suite Otis; Roots of the Blues; Night Shade; Blues Suite; Pigs and Fishes; Creation of the World; Streams; According to Eve; Trane' in Three; Tilt; For 'Bird' - With Love; Phases; Speeds; Masekela Langage; Les Noces; Gillespiana; Sonnets; Revelations; Night Creature; The Beloved
"Toronto, Ontario, Canada",O'Keefe Centre; O'Keefe Center for the Performing Arts; O'Keefe Centre for the Performing Arts,Congo Tango Palace; The Lark Ascending; Sunrise... Sunset; Inside; The Road of the Phoebe Snow; Concerto in F; Flowers; Memoria; Hobo Sapiens; Medusa; Bad Blood; Hermit Songs; Vespers; The Stack-Up; Survivors; Love Songs; Suite Otis; Cry; The Time Before the Time After (After the Time Before); Blues Suite; Reflections in D; Later That Day; Streams; Witness; Caverna Magica; Toccata; For 'Bird' - With Love; Rainbow 'Round My Shoulder; Speeds; Masekela Langage; Les Noces; Butterfly; Revelations; Fire Sermon; District Storyville; Gazelle; Caravan; Night Creature
"Toulouse, France",,Divining; Love Songs; Suite Otis; Revelations; The Stack-Up
"Towson, MD, USA","Kraushaar Auditorium, Goucher College",Blues Suite; Streams; Revelations
"Trapani, Italy",Villa com le Margherita,Treading; The Stack-Up; Night Creature; Revelations
"Trenton, MI, USA",Trenton High School Auditorium,Toccata; Blues Suite; Reflections in D; Revelations; Metallics
"Trenton, NJ, USA",War Memorial Theater; Trenton State College,Carmina Burana; Love Songs; Cry; Rainbow 'Round My Shoulder; Streams; Revelations; The Lark Ascending
"Tucson, AZ, USA","Centennial Hall, University of Arizona; Main Auditorium, University of Arizona",Divining; Missa Brevis; Dance for Six; From the Mountains of Taubalu; Shards; Suite Otis; Cry; Treading; Blues Suite; Rainbow 'Round My Shoulder; Masekela Langage; Kinetic Molpai; Bad Blood; Streams; Revelations; Night Creature
"Tulsa, OK, USA",Tulsa Performing Arts Center; Civic Center,Divining; Facets; Suite Otis; Cry; Treading; Blues Suite; Rainbow 'Round My Shoulder; Later That Day; Memoria; Inside; Les Noces; Revelations; The Stack-Up; Night Creature
"Turin, Italy",Teatro Alfieri,Lament; Congo Tango Palace; Blues Suite; Reflections in D; Revelations; The Road of the Phoebe Snow
"Union, NJ, USA","Newark State College; Little Theatre, Newark State College",Gillespiana; Light; Blues Suite; Reflections in D; Hermit Songs; Revelations; Threnody
"University Park, PA, USA","Eisenhower Auditorium, Pennsylvania State University; Recreation Hall, Penn State University; Schwab Auditorium, Penn State University; Penn State University; Penn State, University Auditorium; Eisenhower Auditorium, Penn State University Center for the Performing Arts",Lullaby for a Jazz Baby; Hidden Rites; The Road of the Phoebe Snow; Isba; Liberian Suite; Nubian Lady; Fever Swamp; Bad Blood; Hermit Songs; The Stack-Up; Divining; Survivors; Love Songs; Treading; Cry; Blues Suite; Pigs and Fishes; Echoes in Blue; Caverna Magica; Dance for Six; Rainbow 'Round My Shoulder; Revelations; Night Creature
"Urbana, IL, USA","Krannert Center for the Performing Arts, University of Illinois Urbana-Champaign; Krannert Center for the Performing Arts, University of Illinois at Urbana-Champaign",Dance for Six; The Still Point; Concerto in F; Treading; Flowers; Blues Suite; Landscape; Time Out of Mind; Streams; Revelations; Sonnets; Night Creature; Fontessa and Friends
"Utica, NY, USA",Munson Williams Proctor Art Institute; Stanley Performing Arts Center,Cinco Latinos; Suite Otis; Treading; Blues Suite; Streams; Revelations; Three for Now
"Utrecht, Netherlands",Stadsschouwburg,The Black Belt; Toccata; Credo; Congo Tango Palace; Blues Suite; Reflections in D; The Prodigal Prince; Revelations; Metallics; The Road of the Phoebe Snow
"Valencia, Spain",Teatro de la Princessa,Carmina Burana; Love Songs; Cry; The Mooche; Streams; Revelations; Night Creature
"Vancouver, British Columbia, Canada",Queen Elizabeth Theatre; Queen Elizabeth Theater,The Still Point; The River; Hidden Rites; Concerto in F; Gazelle; Memoria; Bad Blood; The Stack-Up; Choral Dances; Portrait of Billie; Journey; Love Songs; The Time Before the Time After (After the Time Before); Treading; Cry; Suite Otis; Later That Day; Streams; Myth; Witness; The Mooche; Icarus; Tilt; Phases; Rainbow 'Round My Shoulder; Masekela Langage; Les Noces; Revelations; District Storyville; The Lark Ascending; Night Creature
"Venice, Italy",Teatro La Fence,The Prodigal Prince; Blues Suite; Revelations
"Verona, Italy",Teatro Romano,Suite Otis; Cry; Treading; Blues Suite; Revelations; The Stack-Up; Night Creature
"Vicenza, Veneto, Italy",Teatro Olimpico,Lament; Hermit Songs; Gillespiana; The Road of the Phoebe Snow; Revelations
"Vienna, Austria",Theater an der Wien; Austrian Center U.N. Congress Hall,Caverna Magica; Missa Brevis; Dance for Six; Carmina Burana; How Long Have It Been; Love Songs; Cry; Treading; Blues Suite; Rainbow 'Round My Shoulder; Kinetic Molpai; Bad Blood; Streams; Revelations; The Lark Ascending; Night Creature
"Vienna, VA, USA",Wolf Trap,The Road of the Phoebe Snow; How to Walk an Elephant; Liberian Suite; Nubian Lady; Clear Songs After Rain; The Stack-Up; Choral Dances; Love Songs; Treading; Cry; Lament; Blues Suite; Streams; Myth; Echoes in Blue; Dance for Six; Rainbow 'Round My Shoulder; Speeds; Revelations; The Lark Ascending; Caravan; Night Creature
"Voroshilovgrad, Ukraine, U.S.S.R.",Palace of Culture,Toccata; Dance for Six; Journey; Congo Tango Palace; Blues Suite; Reflections in D; The Prodigal Prince; Revelations; The Road of the Phoebe Snow; Icarus
"Warsaw, Poland",Teatr Wielki,Tilt; Suite Otis; Cry; Hobo Sapiens; Streams; Revelations; Night Creature
"Washington, D.C., USA","Carter Barron Amphitheater; Lisner Auditorium; Lisner Auditorium, George Washington University; Gallaudet College Auditorium; Crampton Auditorium, Howard University; Sylvan Theater; White House; The John F. Kennedy Center for the Performing Arts; The White House; John F. Kennedy Center for the Performing Arts; The Opera House, John F. Kennedy Center for the Performing Arts","Missa Brevis; The Still Point; Spectrum; Concerto in F; Landscape; Kinetic Molpai; Time Out of Mind; The Prodigal Prince; Choral Dances; Pas de Duke; Cry; Night Shade; The Magic of Katherine Dunham; Myth; The Mooche; Anjour: Ruminations on Dudley; Icarus; Echoes in Blue; Toccata; Tilt; Feast of Ashes; Masekela Langage; Blood Burning Moon; Gazelle; District Storyville; Night Creature; Suspension; Congo Tango Palace; The Road of the Phoebe Snow; MASS - A Theatre Piece for Singers, Players and Dancers; Flowers; Archipelago; Nubian Lady; Medusa; Three Black Kings; Vespers; Quintet; The Stack-Up; Mary Lou's Mass; Survivors; Journey; Love Songs; Suite Otis; Lament; Later That Day; Rainbow 'Round My Shoulder; Butterfly; Revelations; Sonnets; After Eden; Hidden Rites; Hobo Sapiens; Coverage II; Bad Blood; Hermit Songs; Divining; The Time Before the Time After (After the Time Before); Treading; Crossword; Streams; Caverna Magica; Dance for Six; For 'Bird' - With Love; Speeds; Collage; Fire Sermon; The Lark Ascending; Caravan; Inside; Fontessa and Friends; Isba; Facets; Liberian Suite; Memoria; Portrait of Billie; Songs Without Words; Blues Suite; Reflections in D; Pigs and Fishes; Choros; Blood Memories; According to Eve; Carmina Burana; Phases; Les Noces; Metallics"
"Wellesley, MA, USA","Alumnae Hall, Wellesley College",Dance for Six; Blues Suite; Revelations
"Wellsville, NY, USA",Wellsville High School Auditorium,Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"West Chester, PA, USA","Philips Memorial Auditorium, West Chester State College",
"West Liberty, WV, USA","Hall of Fine Arts, West Liberty State College",The Black Belt
"West Palm Beach, FL, USA",West Palm Beach Auditorium,The Still Point; The River; To Jose Clemente Orozco; Satyriade; Inside; Fontessa and Friends; Isba; Fever Swamp; Landscape; Memoria; The Stack-Up; Divining; Research; Love Songs; Songs Without Words; Treading; Cry; Suite Otis; Blues Suite; Seven Journeys; Rainbow 'Round My Shoulder; Butterfly; Revelations; Night Creature
"West Point, NY, USA","Eisenhower Hall Theatre, US Military Academy at West Point; Eisenhower Hall Theatre, United States Military Academy",Caverna Magica; Love Songs; Suite Otis; Treading; Memoria; Later That Day; Bad Blood; Inside; Revelations; The Lark Ascending; Night Creature
"Westchester, NY, USA",Unknown (for now) venue in Westchester,
"Westerville, OH, USA","Cowan Hall, Otterbein College",The Black Belt; Blues Suite; Revelations
"Westfield, MA, USA",,
"Westport, CT, USA",Staples High School Auditorium,
"Wichita, KS, USA",Century II Concert Hall,Love Songs; Cry; Streams; Hidden Rites; Revelations; Night Creature
"Wiesbaden, Germany",,
"Wilberforce, OH, USA",Wilberforce College,
"Williamsport, PA, USA","Lycoming College, Scottish Rite Auditorium; Lycoming College",Quintet; Blues Suite; Revelations
"Williamstown, MA, USA","Chapin Hall, Williams College; Adams Memorial Theater, Williams College",Nubian Lady; Blues Suite; Revelations; Choros; Icarus
"Wilmington, DE, USA",Grand Opera House,Spectrum; Concerto in F; Gazelle; The Still Point; Cry; Treading; Phases; Love Songs; Rainbow 'Round My Shoulder; Pigs and Fishes; Blood Memories; Streams; Revelations; The Lark Ascending; Night Creature; Fontessa and Friends
"Winnipeg, Manitoba, Canada",Centennial Concert Hall,Cry; Time Out of Mind; Blues Suite; Revelations
"Winston-Salem, NC, USA",North Carolina School of the Arts,Flowers; Blues Suite; Revelations
"Worcester, MA, USA","Memorial Auditorium, Community Concert",Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Yakima, WA, USA",Capitol Theatre,Toccata; Journey; Blues Suite; Revelations; Icarus
"Yokohama, Japan",Kanagawa Kenmin Hall,For 'Bird' - With Love; Facets; Phases; Songs Without Words; Cry; Treading; Suite Otis; Blues Suite; Fever Swamp; Pigs and Fishes; Les Noces; Revelations; The Stack-Up
"Yonkers, NY, USA",Elizabeth Seton College,Toccata; Journey; Blues Suite; Revelations; Metallics
"Ypsilanti, MI, USA","Eastern Michigan University, Warner Gymnasium",Poeme; Toccata; Dance for Six; Blues Suite; Masekela Langage; The Prodigal Prince; Revelations; Icarus
"Zagreb, Socialist Federal Republic of Yugoslavia",Opera House- Zagreb Opera,Cry; Lament; Blues Suite; Rainbow 'Round My Shoulder; The Prodigal Prince; Revelations; The Lark Ascending; The Road of the Phoebe Snow
"Zaporozhye, Russia, U.S.S.R.",Palace of Culture,Toccata; Dance for Six; Journey; Congo Tango Palace; Blues Suite; Reflections in D; Masekela Langage; The Prodigal Prince; Revelations; Icarus
"Zaragoza, Spain",Teatro Principal,Pas de Duke; Carmina Burana; Love Songs; Cry; Blues Suite; Rainbow 'Round My Shoulder; The Mooche; Streams; Revelations; Night Creature
"Zwolle, Netherlands",DE Buitensocieteit,The Black Belt; Toccata; Journey; Revelations; Icarus
"Zürich, Switzerland",Opera House,Caverna Magica; Treading; Cry; Blues Suite; Revelations; The Stack-Up; Night Creature
"Évora, Portugal",Teatro Garcia De Resende,
"Ōmuta, Japan",Omuta Shimin Kaikan,Been Here and Gone; Mountainway Chant; Letter to a Lady; Gillespiana; Roots of the Blues; Revelations
"Ṣafad, Israel","Cinema ""Zlil""",Toccata; Blues Suite; Reflections in D; The Prodigal Prince; Revelations
