Place,Venues,Repertory
"Reno, NV, USA",Pioneer Theater Auditorium,Blues Suite; Toccata; Icarus; Revelations; Journey
"Richmond, IN, USA","Goddard Auditorium, Earlham College",Blues Suite; Toccata; Icarus; Revelations; Journey
"Richmond, VA, USA","Shrine Mosque Auditorium; Virginia Museum Theatre; Carpenter Center; Loew's Theatre, Virginia Center for the Performing Arts; Virginia Museum Theatre, University of Virginia",Suite Otis; Songs Without Words; Cry; Fontessa and Friends; Pigs and Fishes; Toccata; Icarus; Dance for Six; Hidden Rites; Revelations; Speeds; The Lark Ascending; Myth; Night Creature; Love Songs; Mary Lou's Mass; Blues Suite; The Stack-Up; Suspension; Journey; Threnody; Hermit Songs; Treading; Liberian Suite; Divining; Fever Swamp; Landscape
"Ridgewood, NJ, USA",Benjamin Franklin Junior High School,Dance for Six; Blues Suite; Revelations
"Rio de Janeiro, Brazil",Estadio do Maracanazinhu; Municipal Theatre; Teatro Municipal,The Time Before the Time After (After the Time Before); The Still Point; Memoria; Suite Otis; Phases; Cry; Gillespiana; Light; Passage; Icarus; Rainbow 'Round My Shoulder; Gazelle; The River; Revelations; Later That Day; Butterfly; Streams; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Concerto in F; Treading; Facets; Reflections in D; Pas de Duke
"Ripon, WI, USA",Ripon College Memorial Hall,Dance for Six; Blues Suite; Revelations
"Riverside, CA, USA","Riverside Municipal Auditorium; University Theatre, University of California Riverside",Blues Suite; Toccata; Icarus; Congo Tango Palace; Reflections in D; The Prodigal Prince; Revelations; Journey
"Rochester, NY, USA","Eastman Theatre, Rochester School of Music; East High School; Nazareth Arts Center, Nazareth College",The Time Before the Time After (After the Time Before); Metallics; Inside; Memoria; Portrait of Billie; Suite Otis; Cry; Fanga; Toccata; Flowers; Dance for Six; Icarus; Rainbow 'Round My Shoulder; The Wedding; Hidden Rites; After Eden; Revelations; Later That Day; Choros; Streams; Butterfly; The Lark Ascending; Myth; Night Creature; Love Songs; Blues Suite; Congo Tango Palace; Carmina Burana; Nubian Lady; Echoes in Blue; Fire Sermon; Journey; Lament; Hermit Songs; Feast of Ashes; Liberian Suite; Quintet
"Rome, Italy",Teatro Tendasdrichi; Teatro Olimpico; Teatro dell'Opera,Phases; Suite Otis; Cry; Fontessa and Friends; Toccata; Shards; Rainbow 'Round My Shoulder; Rooms; Revelations; Night Creature; Blues Suite; Come and Get the Beauty of It Hot; The Stack-Up; Congo Tango Palace; Concerto in F; The Road of the Phoebe Snow; Lament; Treading; Hermit Songs; Reflections in D; Landscape
"Rotterdam, Netherlands",Schouwburg,The Road of the Phoebe Snow; Revelations; Metallics; Lament
"Royan, France",2nd International Festival of Contemporary Art,Blues Suite; Hermit Songs; Congo Tango Palace; Reflections in D; Revelations; Gillespiana; The Road of the Phoebe Snow; Lament
"Ruston, LA, USA","Howard Auditorium, Louisiana Tech University",The Road of the Phoebe Snow; Revelations; Cry; Streams
"Rutland, VT, USA",Mount St. Joseph High School Auditorium,Rainbow 'Round My Shoulder; The Lark Ascending; Cry; Revelations
"Río Piedras, Puerto Rico","Teatro de la Universidad, University of Puerto Rico",Dance for Six; Blues Suite; Revelations
"Sacramento, CA, USA",Sacramento Community Center Theater,The Stack-Up; Shards; Tell It Like It Is; Revelations; Suite Otis; Divining; Night Creature; Love Songs
"Safi, Morocco",Cinema Royal,Blues Suite; Toccata; Icarus; Revelations; Journey
"Saigon, South Vietnam",National Theater,The Beloved; Been Here and Gone; Mountainway Chant; Gillespiana; Roots of the Blues
"Salisbury, MD, USA",Salisbury State College,
"Salisbury, NC, USA","Livingstone College Lyceum, Varick Auditorium",Blues Suite; Toccata; Metallics; Reflections in D; Revelations
"Salt Lake City, UT, USA",Capitol Theater,Treading; The Stack-Up; Revelations; Speeds; Cry; Divining; Caverna Magica; The Lark Ascending; Night Creature; Love Songs
"San Antonio, TX, USA",Theater for the Performing Arts; Theatre for Performing Arts,The Still Point; Treading; Rainbow 'Round My Shoulder; The River; Memoria; Concerto in F; Later That Day; Phases; Cry; Revelations; The Lark Ascending; Night Creature
"San Diego, CA, USA","Civic Auditorium; Mandeville Auditorium, University of California, San Diego; Symphony Hall; East County Performing Arts Center; Spreckles Theater",The Still Point; Tell It Like It Is; Memoria; Portrait of Billie; Suite Otis; Cry; Fontessa and Friends; Shards; Rainbow 'Round My Shoulder; Bad Blood; Research; Revelations; Streams; The Lark Ascending; Night Creature; Love Songs; Blues Suite; The Stack-Up; For 'Bird' - With Love; Night Shade; Masekela Langage; Sonnets; Concerto in F; Isba; Treading; Collage; Vespers; Divining
"San Jose, CA, USA","Performing Arts Center; Center for the Performing Arts; Morris Daily Auditorium, San Jose State University",Les Noces; Hermit Songs; Rainbow 'Round My Shoulder; Gazelle; Memoria; Revelations; Later That Day; Cry; Quintet; The Lark Ascending; Poeme; Night Creature; Love Songs
"Santa Barbara, CA, USA","Campbell Hall, University of California Santa Barbara",Toccata; Congo Tango Palace; Reflections in D; The Prodigal Prince; Revelations
"Santa Cruz, CA, USA","Stevenson College Dining Commons, University of California Santa Cruz",Blues Suite; The Beloved; Congo Tango Palace; Reflections in D; Revelations
"Santa Rosa, CA, USA",Santa Rosa High School Auditorium,Blues Suite; Toccata; Icarus; Revelations; Journey
"Santander, Spain",Plaza Porticada,Treading; The Stack-Up; Bad Blood; Concerto in F; Suite Otis; Cry; Streams; Revelations; Night Creature
"Santiago, Chile",Municipal Theater; Opera House,Love Songs; Blues Suite; The Still Point; Treading; Facets; Rainbow 'Round My Shoulder; Gazelle; The River; Memoria; Concerto in F; Suite Otis; Phases; Revelations; Cry; The Lark Ascending; Night Creature; Pas de Duke
"Sarajevo, Socialist Federal Republic of Yugoslavia",Djura Djaković University Hall,Blues Suite; The Prodigal Prince; Revelations; The Road of the Phoebe Snow; Lament
"Sarasota, FL, USA",Van Wezel Performing Arts Hall,The Still Point; Inside; Memoria; Suite Otis; Songs Without Words; Cry; Fontessa and Friends; Caverna Magica; Rainbow 'Round My Shoulder; Bad Blood; Research; Revelations; Streams; The Lark Ascending; Night Creature; Love Songs; Blues Suite; The Stack-Up; Spectrum; Concerto in F; Isba; Journey; Treading; Vespers; Divining; Landscape
"Saratoga Springs, NY, USA","Saratoga Performing Arts Center; College Hall, Skidmore College",The Time Before the Time After (After the Time Before); The Black Belt; Les Noces; District Storyville; Inside; Memoria; Suite Otis; Toccata; Icarus; Revelations; Later That Day; Butterfly; Love Songs; Blues Suite; Congo Tango Palace; Fire Sermon; Facets; Reflections in D; Quintet
"Saratoga, NY, USA",Saratoga Performing Arts Center,District Storyville; Flowers; Gazelle; Revelations; Suite Otis; Mingus; Streams; Cry; Butterfly; Night Creature
"Schenectady, NY, USA",Proctor's Theatre; Proctor's Theater; Linton High School,Variegations; Memoria; Portrait of Billie; Phases; Suite Otis; Cry; Gillespiana; Fontessa and Friends; Caverna Magica; Light; Rainbow 'Round My Shoulder; The River; Bad Blood; Revelations; Speeds; The Lark Ascending; Night Creature; Blues Suite; Concerto in F; Treading; The Beloved; Reflections in D; Divining; Landscape
"Seattle, WA, USA","Meany Theater, University of Washington; Seattle Opera House; Meany Hall, University of Washington; Opera House",The Time Before the Time After (After the Time Before); The Still Point; Metallics; Inside; Tell It Like It Is; Memoria; Phases; Suite Otis; Cry; Fontessa and Friends; Caverna Magica; Shards; Dance for Six; Gazelle; Icarus; Rainbow 'Round My Shoulder; Bad Blood; The River; Research; Revelations; Later That Day; Speeds; Streams; Butterfly; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Survivors; The Stack-Up; From the Mountains of Taubalu; Night Shade; Carmina Burana; Masekela Langage; Concerto in F; Precipice; Isba; Treading; Vespers; Opus McShann; Witness; Divining; Landscape
"Selden, NY, USA","Islip Arts Theatre, Selden Community College",Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Seoul, Korea",Citizens Community Hall,Letter to a Lady; The Beloved; Been Here and Gone; Mountainway Chant; Revelations; Gillespiana; Roots of the Blues
"Seremban, Malaysia",Seremban Town Hall,The Beloved; Been Here and Gone; Mountainway Chant; Revelations; Gillespiana; Trane' in Three; Roots of the Blues
"Sfax, Tunisia",Theatre Municipal,Toccata; Icarus; The Prodigal Prince; Revelations; Journey
"Shanghai, China",Shanghai Municipal Auditorium,Memoria; Concerto in F; Revelations; Cry; Night Creature
"Shepherdstown, WV, USA","McMurran Gymnasium, Shepherd College",Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Shrub Oak, NY, USA",Lakeland High School,Revelations; Cry; Streams; Choral Dances
"Skopje, Socialist Federal Republic of Yugoslavia",Universalna Sala,Blues Suite; The Prodigal Prince; Revelations; The Road of the Phoebe Snow; Lament
"Slippery Rock, PA, USA",Slippery Rock State College,Blues Suite; Revelations; Quintet
"Sorrento, Italy",Chiostro di San Francesco,Blues Suite; Reflections in D; Toccata; The Prodigal Prince
"South Hadley, MA, USA","Chapin Auditorium, Mount Holyoke College",Dance for Six; Journey; Toccata; Revelations
"Split, Socialist Federal Republic of Yugoslavia",Peristyle; Kulturno Unjetnicka Poslovinka,Blues Suite; Toccata; Rainbow 'Round My Shoulder; Credo; Icarus; The Prodigal Prince; Revelations; Cry
"Spring Valley, NY, USA",Spring Valley High School,Light; Blues Suite; Revelations
"St. Cloud, MN, USA","Stewart Hall Auditorium, St. Cloud University",Toccata; Dance for Six; Child of the Earth; Revelations; Archipelago
"St. Louis, MO, USA",Hanley Jr. High School; Forrest Park Community College; Kiel Opera House,The Time Before the Time After (After the Time Before); Memoria; Suite Otis; Cry; Fanga; Fontessa and Friends; Seven Journeys; The Magic of Katherine Dunham; Gazelle; Dance for Six; Rainbow 'Round My Shoulder; The Wedding; Revelations; Choros; Streams; Night Creature; Love Songs; Blues Suite; The Stack-Up; For 'Bird' - With Love; Concerto in F; Hobo Sapiens; The Road of the Phoebe Snow; Treading; Choral Dances; Divining; Caravan; Landscape
"St. Paul, MN, USA",St. Paul Municipal Auditorium Theatre,
"St. Petersburg, FL, USA",Bayfront Center; Florida Presbyterian College,The Time Before the Time After (After the Time Before); Blues Suite; Night Creature; Toccata; Rainbow 'Round My Shoulder; Icarus; Journey; Revelations; Suite Otis; Cry; The Lark Ascending; Caravan
"St. Thomas, U.S. Virgin Islands",Charlotte Amalie High School Auditorium,Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Stamford, CT, USA",The Stamford Center for the Arts; Westover School Auditorium; Unknown (for now) venue in Stamford,Bad Blood; Revelations; Witness; Caverna Magica; Night Creature
"Stanford, CA, USA","Memorial Auditorium, Stanford University",Flowers; Facets; Revelations; Journey; Night Creature
"Statesboro, GA, USA",Georgia Southern College,Blues Suite; Revelations; Quintet
"Stevens Point, WI, USA","Old Main Auditorium, University of Wisconsin–Stevens Point",Threnody; Toccata; Metallics; Revelations; Journey
"Stillwater, OK, USA","Seretean Theatre Center; Seretean Centre for the Performing Arts, Oklahoma State University; Oklahoma State University",Blues Suite; Feast of Ashes; According to Eve; Choral Dances; Dance for Six; Icarus; Hidden Rites; Revelations; Cry; Night Creature; Love Songs
"Stockholm, Sweden",Stockholms Stadsteater; Stadsteatern,Metallics; Suite Otis; Cry; Gillespiana; Pigs and Fishes; Toccata; Rooms; The Prodigal Prince; Revelations; Night Creature; Love Songs; Blues Suite; The Stack-Up; Congo Tango Palace; The Road of the Phoebe Snow; Lament; Treading; Hermit Songs; The Beloved; Reflections in D; Divining; Fever Swamp
"Storrs, CT, USA","Jorgensen Auditorium, University of Connecticut; Harriet S. Jorgensen Theatre, University of Connecticut; University of Connecticut",Blues Suite; Toccata; Flowers; Child of the Earth; Rainbow 'Round My Shoulder; From the Mountains of Taubalu; Icarus; Carmina Burana; Masekela Langage; Hidden Rites; Revelations; Suite Otis; Cry; Quintet; The Lark Ascending; Love Songs
"Stuttgart, Germany",Liederhalle,Blues Suite; Hermit Songs; Toccata; Revelations; The Road of the Phoebe Snow
"Stuttgart-North, Germany",,
"Sweet Briar, VA, USA",Sweet Briar College,Threnody; Toccata; Icarus; Revelations; Journey
"Sydney, Australia",Tivoli Theatre; Lyric Mode Entertainment Centre; Palace Theatre,Memoria; Suite Otis; Cry; Gillespiana; Fontessa and Friends; Rooms; How to Walk an Elephant; Revelations; Speeds; Night Creature; Love Songs; Blues Suite; Letter to a Lady; The Stack-Up; Been Here and Gone; Mountainway Chant; Concerto in F; The Road of the Phoebe Snow; Isba; Lament; Treading; Hermit Songs; The Beloved; Reflections in D; Divining; Roots of the Blues
"Syracuse, NY, USA",Crouse-Hinds Concert Theater,Shards; From the Mountains of Taubalu; Bad Blood; Tell It Like It Is; Revelations; Suite Otis; Streams; Divining
"São Paulo, Brazil",Teatro Municipal,The Time Before the Time After (After the Time Before); Suite Otis; Cry; Gillespiana; Light; Passage; Icarus; Rainbow 'Round My Shoulder; Gazelle; Revelations; Butterfly; Streams; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Facets; Reflections in D; Pas de Duke
"Tacoma, WA, USA",,
"Taipei, Taiwan",Taipei City Hall; Sun Yat-sen Memorial Hall,Facets; The Beloved; Been Here and Gone; Rainbow 'Round My Shoulder; Gazelle; Journey; After Eden; Revelations; The Lark Ascending; Cry; Gillespiana; Trane' in Three; Roots of the Blues
"Tallahassee, FL, USA","Lee Hall, Florida Agricultural and Mechanical University; Wescott Auditorium, Florida State University; Ruby Diamond Auditorium",Metallics; Memoria; Songs Without Words; Pigs and Fishes; Toccata; Icarus; Dance for Six; The River; The Prodigal Prince; Revelations; Streams; Blues Suite; To Jose Clemente Orozco; Spectrum; Concerto in F; Journey; Treading; Hermit Songs; Fever Swamp
"Tampa, FL, USA",University of South Florida,Dance for Six; Revelations; Masekela Langage
"Taormina, Italy",Theatro Greco,Treading; The Stack-Up; Revelations; Cry; Streams; Caverna Magica; Night Creature
"Tarrytown, NY, USA","Spellman Auditorium, Marymount College",The Beloved
"Tehran, Iran",Roudaki Hall,Blues Suite; Kinetic Molpai; Hidden Rites; Revelations; Nubian Lady; Streams; Cry; The Lark Ascending; Love Songs
"Tel Aviv, Israel",Mann Auditorium; Solomon's Pool,Memoria; Phases; Suite Otis; Cry; Fontessa and Friends; Caverna Magica; Pigs and Fishes; The River; Bad Blood; Revelations; Speeds; Streams; Night Creature; Blues Suite; Survivors; The Stack-Up; Sonnets; Spectrum; Concerto in F; Treading; Divining; Fever Swamp; Landscape
"Tempe, AZ, USA","Grady Gammage Memorial Auditorium, Arizona State University; Grady Gammage Auditorium, Arizona State University; Gammage Center for The Performing Arts; Grady Gammage Memorial Auditorium, Arizona State University",The Still Point; Missa Brevis; Songs Without Words; Cry; Fontessa and Friends; Pigs and Fishes; Dance for Six; Rainbow 'Round My Shoulder; The River; Hidden Rites; After Eden; Revelations; The Lark Ascending; Night Creature; Love Songs; The Stack-Up; Carmina Burana; Masekela Langage; Concerto in F; Isba; Treading; Divining; Fever Swamp; Landscape
"Terre Haute, IN, USA","Tilson Music Hall, Indiana State University",
"Timișoara, Socialist Republic of Romania",Opera House,Rainbow 'Round My Shoulder; The Lark Ascending; Cry; Revelations
"Tokuyama, Yamaguchi, Japan",Tokuyama Shiminkan,Letter to a Lady; Been Here and Gone; Mountainway Chant; Revelations; Gillespiana; Roots of the Blues
"Tokyo, Japan","Nakano Sun Plaza Hall; Sankei Hall; Sun Plaza Hall; Tokyo Bunka Kaikan; Tokyo Kosei Nenkin Kaikan; Kosei Nenkin Kaikan; Hitomi Kinen Kodo, Showa Women's College; Bunkyo Hall; Tokyo Sun Plaza Hall; Hitomi Kinen Kodo, Showa Women's University; Hitmomi Memorial Hall; Tokyo Bunka Káikan; Bunka Kaigan Hall; Tokyo Kosei Nenkin; NHK Hall",Les Noces; According to Eve; Inside; Memoria; Suite Otis; Phases; Songs Without Words; Fontessa and Friends; Gillespiana; Cry; Pigs and Fishes; The Wait; The River; After Eden; Tilt; Revelations; Speeds; Streams; Trane' in Three; The Lark Ascending; Night Creature; Love Songs; Blues Suite; The Stack-Up; Been Here and Gone; For 'Bird' - With Love; Night Shade; Masekela Langage; Sonnets; Mountainway Chant; Spectrum; Concerto in F; Precipice; The Road of the Phoebe Snow; Isba; Treading; Creation of the World; The Beloved; Facets; Cinco Latinos; Divining; Roots of the Blues; Fever Swamp; Landscape
"Toronto, Ontario, Canada",O'Keefe Center for the Performing Arts; O'Keefe Centre; O'Keefe Centre for the Performing Arts,The Time Before the Time After (After the Time Before); Les Noces; District Storyville; Inside; Memoria; Suite Otis; Cry; Medusa; Caverna Magica; Toccata; Flowers; Rainbow 'Round My Shoulder; Gazelle; Bad Blood; Revelations; Later That Day; Speeds; Streams; Butterfly; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Survivors; For 'Bird' - With Love; Congo Tango Palace; The Stack-Up; Sunrise... Sunset; Masekela Langage; Concerto in F; Hobo Sapiens; The Road of the Phoebe Snow; Fire Sermon; Hermit Songs; Reflections in D; Vespers; Witness; Caravan
"Toulouse, France",,The Stack-Up; Revelations; Suite Otis; Divining; Love Songs
"Towson, MD, USA","Kraushaar Auditorium, Goucher College",Blues Suite; Revelations; Streams
"Trapani, Italy",Villa com le Margherita,Treading; Revelations; Night Creature; The Stack-Up
"Trenton, MI, USA",Trenton High School Auditorium,Blues Suite; Toccata; Metallics; Reflections in D; Revelations
"Trenton, NJ, USA",Trenton State College; War Memorial Theater,Rainbow 'Round My Shoulder; Carmina Burana; Revelations; Cry; Streams; The Lark Ascending; Love Songs
"Tucson, AZ, USA","Centennial Hall, University of Arizona; Main Auditorium, University of Arizona",Blues Suite; Treading; Missa Brevis; Dance for Six; Rainbow 'Round My Shoulder; From the Mountains of Taubalu; Shards; Masekela Langage; Kinetic Molpai; Bad Blood; Revelations; Suite Otis; Cry; Streams; Divining; Night Creature
"Tulsa, OK, USA",Civic Center; Tulsa Performing Arts Center,Blues Suite; Les Noces; Treading; Facets; The Stack-Up; Rainbow 'Round My Shoulder; Inside; Memoria; Revelations; Later That Day; Suite Otis; Cry; Divining; Night Creature
"Turin, Italy",Teatro Alfieri,Blues Suite; Congo Tango Palace; Reflections in D; Revelations; The Road of the Phoebe Snow; Lament
"Union, NJ, USA","Little Theatre, Newark State College; Newark State College",Light; Blues Suite; Threnody; Hermit Songs; Reflections in D; Revelations; Quintet; Gillespiana
"University Park, PA, USA","Eisenhower Auditorium, Penn State University Center for the Performing Arts; Eisenhower Auditorium, Pennsylvania State University; Penn State University; Penn State, University Auditorium; Schwab Auditorium, Penn State University; Recreation Hall, Penn State University",Cry; Caverna Magica; Pigs and Fishes; Dance for Six; Rainbow 'Round My Shoulder; Bad Blood; Hidden Rites; Revelations; Night Creature; Love Songs; Blues Suite; Survivors; The Stack-Up; Nubian Lady; Echoes in Blue; The Road of the Phoebe Snow; Isba; Treading; Hermit Songs; Lullaby for a Jazz Baby; Liberian Suite; Divining; Fever Swamp
"Urbana, IL, USA","Krannert Center for the Performing Arts, University of Illinois Urbana-Champaign; Krannert Center for the Performing Arts, University of Illinois at Urbana-Champaign",The Still Point; Blues Suite; Treading; Flowers; Time Out of Mind; Dance for Six; Sonnets; Concerto in F; Revelations; Streams; Fontessa and Friends; Night Creature; Landscape
"Utica, NY, USA",Stanley Performing Arts Center; Munson Williams Proctor Art Institute,Blues Suite; Treading; Cinco Latinos; Revelations; Suite Otis; Streams; Three for Now-Modern Jazz Suite
"Utrecht, Netherlands",Stadsschouwburg,Blues Suite; The Black Belt; Toccata; Metallics; Credo; Reflections in D; Congo Tango Palace; The Prodigal Prince; Revelations; The Road of the Phoebe Snow
"Valencia, Spain",Teatro de la Princessa,Carmina Burana; The Mooche; Revelations; Cry; Streams; Night Creature; Love Songs
"Vancouver, British Columbia, Canada",Queen Elizabeth Theatre; Queen Elizabeth Theater,The Time Before the Time After (After the Time Before); The Still Point; Les Noces; District Storyville; Memoria; Portrait of Billie; Phases; Suite Otis; Cry; Icarus; Rainbow 'Round My Shoulder; Gazelle; The River; Bad Blood; Hidden Rites; The Mooche; Tilt; Revelations; Later That Day; Streams; The Lark Ascending; Myth; Night Creature; Love Songs; The Stack-Up; Masekela Langage; Concerto in F; Journey; Treading; Choral Dances; Witness
"Venice, Italy",Teatro La Fence,Blues Suite; Revelations; The Prodigal Prince
"Verona, Italy",Teatro Romano,Blues Suite; Treading; The Stack-Up; Revelations; Suite Otis; Cry; Night Creature
"Vicenza, Veneto, Italy",Comune Di Vicenza,Hermit Songs; Revelations; Gillespiana; The Road of the Phoebe Snow; Lament
"Vienna, Austria",Theater an der Wien; Austrian Center U.N. Congress Hall,Blues Suite; Treading; Missa Brevis; Dance for Six; Rainbow 'Round My Shoulder; Carmina Burana; Kinetic Molpai; Bad Blood; Revelations; Cry; Streams; Caverna Magica; The Lark Ascending; How Long Have It Been; Night Creature; Love Songs
"Vienna, VA, USA",Wolf Trap,Cry; Dance for Six; Rainbow 'Round My Shoulder; How to Walk an Elephant; Revelations; Speeds; Streams; Myth; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Clear Songs After Rain; The Stack-Up; Nubian Lady; Echoes in Blue; The Road of the Phoebe Snow; Lament; Treading; Liberian Suite; Choral Dances; Caravan
"Voroshilovgrad, Ukraine, U.S.S.R.",Palace of Culture,Blues Suite; Toccata; Dance for Six; Congo Tango Palace; Reflections in D; Icarus; The Prodigal Prince; Revelations; The Road of the Phoebe Snow; Journey
"Warsaw, Poland",Teatr Wielki,Tilt; Revelations; Suite Otis; Cry; Streams; Hobo Sapiens; Night Creature
"Washington, D.C., USA","Lisner Auditorium, George Washington University; John F. Kennedy Center for the Performing Arts; The White House; Carter Barron Amphitheater; Sylvan Theater; Crampton Auditorium, Howard University; Gallaudet College Auditorium; The John F. Kennedy Center for the Performing Arts; Lisner Auditorium; White House; The Opera House, John F. Kennedy Center for the Performing Arts","Missa Brevis; Blood Burning Moon; Medusa; Icarus; Hidden Rites; Tilt; Streams; Anjour: Ruminations on Dudley; Night Creature; The Stack-Up; The Road of the Phoebe Snow; Lament; Feast of Ashes; Collage; Choral Dances; Liberian Suite; Caravan; Pas de Duke; The Still Point; Memoria; Caverna Magica; Gazelle; MASS - A Theatre Piece for Singers, Players and Dancers; Speeds; Blood Memories; Blues Suite; Time Out of Mind; Night Shade; Suspension; Concerto in F; Nubian Lady; Archipelago; Echoes in Blue; Hobo Sapiens; Isba; Journey; Hermit Songs; Reflections in D; Kinetic Molpai; Divining; Landscape; The Time Before the Time After (After the Time Before); District Storyville; Metallics; According to Eve; Suite Otis; Songs Without Words; Pigs and Fishes; Toccata; Dance for Six; Rainbow 'Round My Shoulder; The Prodigal Prince; Butterfly; Love Songs; Mary Lou's Mass; Coverage II; Crossword; Three Black Kings; Congo Tango Palace; Fire Sermon; Vespers; Les Noces; Inside; Portrait of Billie; Phases; Cry; Fontessa and Friends; Flowers; The Magic of Katherine Dunham; Bad Blood; The Mooche; After Eden; Revelations; Later That Day; Choros; The Lark Ascending; Myth; Survivors; For 'Bird' - With Love; Carmina Burana; Masekela Langage; Sonnets; Spectrum; Treading; Facets; Quintet"
"Wellesley, MA, USA","Alumnae Hall, Wellesley College",Dance for Six; Blues Suite; Revelations
"Wellsville, NY, USA",Wellsville High School Auditorium,Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"West Chester, PA, USA","Philips Memorial Auditorium, West Chester State College",
"West Liberty, WV, USA","Hall of Fine Arts, West Liberty State College",The Black Belt
"West Orange, NJ, USA","Carlton Theater; Maurice Levin Auditorium, YM-YWHA of Essex County",Blues Suite; Threnody; Revelations; Quintet
"West Palm Beach, FL, USA",West Palm Beach Auditorium,The Still Point; Inside; Memoria; Suite Otis; Songs Without Words; Cry; Fontessa and Friends; Seven Journeys; Rainbow 'Round My Shoulder; The River; Research; Revelations; Butterfly; Night Creature; Love Songs; Blues Suite; To Jose Clemente Orozco; The Stack-Up; Satyriade; Isba; Treading; Divining; Fever Swamp; Landscape
"West Point, NY, USA","Eisenhower Hall Theatre, US Military Academy at West Point; Eisenhower Hall Theatre, United States Military Academy",Treading; Inside; Bad Blood; Memoria; Revelations; Later That Day; Suite Otis; Caverna Magica; The Lark Ascending; Night Creature; Love Songs
"Westchester, NY, USA",Unknown (for now) venue in Westchester,
"Westerville, OH, USA","Cowan Hall, Otterbein College",Blues Suite; The Black Belt; Revelations
"Westfield, MA, USA",,
"Westport, CT, USA",Staples High School Auditorium,
"Wichita, KS, USA",Century II Concert Hall,Hidden Rites; Revelations; Cry; Streams; Night Creature; Love Songs
"Wiesbaden, Germany",,
"Wilberforce, OH, USA",Wilberforce College,
"Williamsport, PA, USA","Lycoming College; Lycoming College, Scottish Rite Auditorium",Blues Suite; Revelations; Quintet
"Williamstown, MA, USA","Adams Memorial Theater, Williams College; Chapin Hall, Williams College",Blues Suite; Icarus; Revelations; Choros; Nubian Lady
"Wilmington, DE, USA",Grand Opera House,The Still Point; Fontessa and Friends; Treading; Rainbow 'Round My Shoulder; Gazelle; Pigs and Fishes; Spectrum; Concerto in F; Phases; Cry; Streams; Blood Memories; Revelations; The Lark Ascending; Night Creature; Love Songs
"Winnipeg, Manitoba, Canada",Centennial Concert Hall,Blues Suite; Revelations; Cry; Time Out of Mind
"Winston-Salem, NC, USA",North Carolina School of the Arts,Blues Suite; Revelations; Flowers
"Worcester, MA, USA","Memorial Auditorium, Community Concert",Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Yakima, WA, USA",Capitol Theatre,Blues Suite; Toccata; Icarus; Revelations; Journey
"Yokohama, Japan",Kanagawa Kenmin Hall,Blues Suite; Les Noces; Treading; Facets; The Stack-Up; For 'Bird' - With Love; Revelations; Suite Otis; Phases; Songs Without Words; Cry; Fever Swamp; Pigs and Fishes
"Yonkers, NY, USA",Elizabeth Seton College,Blues Suite; Toccata; Metallics; Revelations; Journey
"Ypsilanti, MI, USA","Eastern Michigan University, Warner Gymnasium",Blues Suite; Toccata; Dance for Six; Icarus; Masekela Langage; The Prodigal Prince; Revelations; Poeme
"Zagreb, Socialist Federal Republic of Yugoslavia",Opera House- Zagreb Opera,Blues Suite; Rainbow 'Round My Shoulder; The Prodigal Prince; Revelations; Cry; The Road of the Phoebe Snow; The Lark Ascending; Lament
"Zaporozhye, Russia, U.S.S.R.",Palace of Culture,Blues Suite; Toccata; Dance for Six; Congo Tango Palace; Reflections in D; Icarus; Masekela Langage; The Prodigal Prince; Revelations; Journey
"Zaragoza, Spain",Teatro Principal,Blues Suite; Rainbow 'Round My Shoulder; Pas de Duke; Carmina Burana; The Mooche; Revelations; Cry; Streams; Night Creature; Love Songs
"Zwolle, Netherlands",DE Buitensocieteit,The Black Belt; Toccata; Icarus; Revelations; Journey
"Zürich, Switzerland",Opera House,Blues Suite; Treading; The Stack-Up; Revelations; Cry; Caverna Magica; Night Creature
"Évora, Portugal",Teatro Garcia De Resende,
"Ōmuta, Japan",Omuta Shimin Kaikan,Letter to a Lady; Been Here and Gone; Mountainway Chant; Revelations; Gillespiana; Roots of the Blues
"Ṣafad, Israel","Cinema ""Zlil""",Blues Suite; Toccata; Reflections in D; The Prodigal Prince; Revelations
